"filename", "language", "TypeScript JSX", "Markdown", "CSS", "JSON with Comments", "TypeScript", "JSON", "JavaScript", "Properties", "MS SQL", "XML", "comment", "blank", "total"
"c:\Users\CUTA2024011\Documents\Cutamora\CAPSTONE\capstone_project\client\src\components\ui\button.tsx", "TypeScript JSX", 51, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 57
"c:\Users\CUTA2024011\Documents\Cutamora\CAPSTONE\capstone_project\client\src\components\ui\card.tsx", "TypeScript JSX", 75, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 84
"c:\Users\CUTA2024011\Documents\Cutamora\CAPSTONE\capstone_project\client\src\components\ui\carousel.tsx", "TypeScript JSX", 232, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 31, 263
"c:\Users\CUTA2024011\Documents\Cutamora\CAPSTONE\capstone_project\client\src\components\ui\dropdown-menu.tsx", "TypeScript JSX", 182, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 19, 201
"c:\Users\CUTA2024011\Documents\Cutamora\CAPSTONE\capstone_project\client\src\constants\Booking.ts", "TypeScript", 0, 0, 0, 0, 28, 0, 0, 0, 0, 0, 0, 4, 32
"c:\Users\CUTA2024011\Documents\Cutamora\CAPSTONE\capstone_project\client\src\constants\CarModel.ts", "TypeScript", 0, 0, 0, 0, 1437, 0, 0, 0, 0, 0, 0, 2, 1439
"c:\Users\CUTA2024011\Documents\Cutamora\CAPSTONE\capstone_project\client\src\constants\Cart.ts", "TypeScript", 0, 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 3, 10
"c:\Users\CUTA2024011\Documents\Cutamora\CAPSTONE\capstone_project\client\src\constants\Cebuprovinces.ts", "TypeScript", 0, 0, 0, 0, 1422, 0, 0, 0, 0, 0, 0, 2, 1424
"c:\Users\CUTA2024011\Documents\Cutamora\CAPSTONE\capstone_project\client\src\constants\Product-types.ts", "TypeScript", 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 2, 7
"c:\Users\CUTA2024011\Documents\Cutamora\CAPSTONE\capstone_project\client\src\constants\Products.ts", "TypeScript", 0, 0, 0, 0, 11, 0, 0, 0, 0, 0, 0, 3, 14
